country,region,developed,sub-region
Nicaragua,Americas,Emerging,South America
Niger,Africa,Emerging,Africa
Nigeria,Africa,Emerging,Africa
Niue,Oceania,Emerging,Asia emerging
Norfolk Island,Oceania,Emerging,Asia emerging
Northern Mariana Islands,Oceania,Emerging,Asia emerging
Norway,Europe,Developed,Europe developed
Oman,Asia,Emerging,Asia emerging
Pakistan,Asia,Emerging,Asia emerging
Palau,Oceania,Emerging,Asia emerging
Panama,Americas,Emerging,South America
Papua New Guinea,Oceania,Emerging,Asia emerging
Paraguay,Americas,Emerging,South America
Peru,Americas,Emerging,South America
Philippines,Asia,Emerging,Asia emerging
Pitcairn,Oceania,Emerging,Asia emerging
Poland,Europe,Emerging,Europe emerging
Portugal,Europe,Developed,Europe developed
Puerto Rico,Americas,Emerging,South America
Qatar,Asia,Emerging,Asia emerging
South Korea,Asia,Developed,Asia developed
Republic of Moldova,Europe,Emerging,Europe emerging
Romania,Europe,Emerging,Europe emerging
Russia,Europe,Emerging,Europe emerging
Rwanda,Africa,Emerging,Africa
Réunion,Africa,Emerging,Africa
Saint Barthélemy,Americas,Emerging,South America
Saint Helena,Africa,Emerging,Africa
Saint Kitts and Nevis,Americas,Emerging,South America
Saint Lucia,Americas,Emerging,South America
Saint Martin (French Part),Americas,Emerging,South America
Saint Pierre and Miquelon,Americas,Developed,North America
Saint Vincent and the Grenadines,Americas,Emerging,South America
Samoa,Oceania,Emerging,Asia emerging
San Marino,Europe,Developed,Europe developed
Sao Tome and Principe,Africa,Emerging,Africa
Sark,Europe,Developed,Europe developed
Saudi Arabia,Asia,Emerging,Asia emerging
Senegal,Africa,Emerging,Africa
Serbia,Europe,Developed,Europe developed
Seychelles,Africa,Emerging,Africa
Sierra Leone,Africa,Emerging,Africa
Singapore,Asia,Developed,Asia developed
Sint Maarten (Dutch part),Americas,Emerging,South America
Slovakia,Europe,Developed,Europe developed
Slovenia,Europe,Developed,Europe developed
Solomon Islands,Oceania,Emerging,Asia emerging
Somalia,Africa,Emerging,Africa
South Africa,Africa,Emerging,Africa
South Georgia and the South Sandwich Islands,Americas,Emerging,South America
South Sudan,Africa,Emerging,Africa
Spain,Europe,Developed,Europe developed
Sri Lanka,Asia,Emerging,Asia emerging
State of Palestine,Asia,Emerging,Asia emerging
Sudan,Africa,Emerging,Africa
Suriname,Americas,Emerging,South America
Svalbard and Jan Mayen Islands,Europe,Emerging,Europe emerging
Sweden,Europe,Developed,Europe developed
Switzerland,Europe,Developed,Europe developed
Syrian Arab Republic,Asia,Emerging,Asia emerging
Tajikistan,Asia,Emerging,Asia emerging
Taiwan,Asia,Developed,Asia developed
Thailand,Asia,Emerging,Asia emerging
The former Yugoslav Republic of Macedonia,Europe,Emerging,Europe emerging
Timor-Leste,Asia,Emerging,Asia emerging
Togo,Africa,Emerging,Africa
Tokelau,Oceania,Emerging,Asia emerging
Tonga,Oceania,Emerging,Asia emerging
Trinidad and Tobago,Americas,Emerging,South America
Tunisia,Africa,Emerging,Africa
Turkey,Asia,Emerging,Asia emerging
Turkmenistan,Asia,Emerging,Asia emerging
Turks and Caicos Islands,Americas,Emerging,South America
Tuvalu,Oceania,Emerging,Asia emerging
Uganda,Africa,Emerging,Africa
Ukraine,Europe,Emerging,Europe emerging
United Arab Emirates,Asia,Emerging,Asia emerging
United Kingdom,Europe,Developed,Europe developed
United Republic of Tanzania,Africa,Emerging,Africa
United States Minor Outlying Islands,Oceania,Emerging,Asia emerging
United States Virgin Islands,Americas,Emerging,South America
United States,Americas,Developed,North America
Uruguay,Americas,Emerging,South America
Uzbekistan,Asia,Emerging,Asia emerging
Vanuatu,Oceania,Emerging,Asia emerging
Venezuela (Bolivarian Republic of),Americas,Emerging,South America
Viet Nam,Asia,Emerging,Asia emerging
Wallis and Futuna Islands,Oceania,Emerging,Asia emerging
Western Sahara,Africa,Emerging,Africa
Yemen,Asia,Emerging,Asia emerging
Zambia,Africa,Emerging,Africa
Zimbabwe,Africa,Emerging,Africa
Åland Islands,Europe,Emerging,Europe emerging
